"subject" "activity" "mode" "parameter" "measure" "axis" "value" "component" "datasource"
"1" "LAYING" "TIME" "Mag" "std" NA -0.81901016976 "Body" "Gyro"
"1" "LAYING" "TIME" "JerkMag" "std" NA -0.9358409828 "Body" "Gyro"
"1" "LAYING" "FREQUENCY" "" "std" "X" -0.9244374346 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "" "std" "Y" -0.8336255561 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "" "std" "Z" -0.81289155944 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "Jerk" "std" "X" -0.9641607086 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "Jerk" "std" "Y" -0.9322178704 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "Jerk" "std" "Z" -0.9605869872 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "" "std" "X" -0.8822964508 "Body" "Gyro"
"1" "LAYING" "FREQUENCY" "" "std" "Y" -0.9512320494 "Body" "Gyro"
"1" "LAYING" "FREQUENCY" "" "std" "Z" -0.9165825082 "Body" "Gyro"
"1" "LAYING" "FREQUENCY" "Mag" "std" NA -0.7983009404 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "JerkMag" "std" NA -0.9218039756 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "Mag" "std" NA -0.82431943968 "Body" "Gyro"
"1" "LAYING" "FREQUENCY" "JerkMag" "std" NA -0.9326606676 "Body" "Gyro"
"1" "SITTING" "TIME" "" "mean" "X" 0.261237565425532 "Body" "Acc"
"1" "SITTING" "TIME" "" "mean" "Y" -0.00130828765170213 "Body" "Acc"
"1" "SITTING" "TIME" "" "mean" "Z" -0.104544182255319 "Body" "Acc"
"1" "SITTING" "TIME" "" "mean" "X" 0.831509933404255 "Gravity" "Acc"
"1" "SITTING" "TIME" "" "mean" "Y" 0.204411592680851 "Gravity" "Acc"
"1" "SITTING" "TIME" "" "mean" "Z" 0.332043702765957 "Gravity" "Acc"
"1" "SITTING" "TIME" "Jerk" "mean" "X" 0.0774825199574468 "Body" "Acc"
"1" "SITTING" "TIME" "Jerk" "mean" "Y" -0.000619102785106384 "Body" "Acc"
"1" "SITTING" "TIME" "Jerk" "mean" "Z" -0.00336779235021277 "Body" "Acc"
"1" "SITTING" "TIME" "" "mean" "X" -0.045350056512766 "Body" "Gyro"
"1" "SITTING" "TIME" "" "mean" "Y" -0.0919241549361702 "Body" "Gyro"
"1" "SITTING" "TIME" "" "mean" "Z" 0.0629313811914894 "Body" "Gyro"
"1" "SITTING" "TIME" "Jerk" "mean" "X" -0.0936793807234043 "Body" "Gyro"
"1" "SITTING" "TIME" "Jerk" "mean" "Y" -0.0402118124255319 "Body" "Gyro"
"1" "SITTING" "TIME" "Jerk" "mean" "Z" -0.046702627 "Body" "Gyro"
"1" "SITTING" "TIME" "Mag" "mean" NA -0.948536786170213 "Body" "Acc"
"1" "SITTING" "TIME" "Mag" "mean" NA -0.948536786170213 "Gravity" "Acc"
"1" "SITTING" "TIME" "JerkMag" "mean" NA -0.987364195531915 "Body" "Acc"
"1" "SITTING" "TIME" "Mag" "mean" NA -0.93089249 "Body" "Gyro"
"1" "SITTING" "TIME" "JerkMag" "mean" NA -0.991976341276596 "Body" "Gyro"
"1" "SITTING" "FREQUENCY" "" "mean" "X" -0.979641238723404 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "" "mean" "Y" -0.944084550425532 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "" "mean" "Z" -0.959184889148936 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "Jerk" "mean" "X" -0.986597022553191 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "Jerk" "mean" "Y" -0.981579467021277 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "Jerk" "mean" "Z" -0.986053092340425 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "" "mean" "X" -0.976161464042553 "Body" "Gyro"
"1" "SITTING" "FREQUENCY" "" "mean" "Y" -0.975838585319149 "Body" "Gyro"
"1" "SITTING" "FREQUENCY" "" "mean" "Z" -0.951315544468085 "Body" "Gyro"
"1" "SITTING" "FREQUENCY" "Mag" "mean" NA -0.947782922553192 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "JerkMag" "mean" NA -0.985262126808511 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "Mag" "mean" NA -0.958435589361702 "Body" "Gyro"
"1" "SITTING" "FREQUENCY" "JerkMag" "mean" NA -0.989797547234043 "Body" "Gyro"
"1" "SITTING" "TIME" "" "std" "X" -0.977229008297872 "Body" "Acc"
"1" "SITTING" "TIME" "" "std" "Y" -0.922618641914894 "Body" "Acc"
"1" "SITTING" "TIME" "" "std" "Z" -0.93958629106383 "Body" "Acc"
"1" "SITTING" "TIME" "" "std" "X" -0.968457145744681 "Gravity" "Acc"
"1" "SITTING" "TIME" "" "std" "Y" -0.935517055957447 "Gravity" "Acc"
"1" "SITTING" "TIME" "" "std" "Z" -0.949040933191489 "Gravity" "Acc"
"1" "SITTING" "TIME" "Jerk" "std" "X" -0.986430711276596 "Body" "Acc"
"1" "SITTING" "TIME" "Jerk" "std" "Y" -0.981371965319149 "Body" "Acc"
"1" "SITTING" "TIME" "Jerk" "std" "Z" -0.987910804468085 "Body" "Acc"
"1" "SITTING" "TIME" "" "std" "X" -0.977211283191489 "Body" "Gyro"
"1" "SITTING" "TIME" "" "std" "Y" -0.966473895319149 "Body" "Gyro"
"1" "SITTING" "TIME" "" "std" "Z" -0.941425920851064 "Body" "Gyro"
"1" "SITTING" "TIME" "Jerk" "std" "X" -0.99173159212766 "Body" "Gyro"
"1" "SITTING" "TIME" "Jerk" "std" "Y" -0.989518068510638 "Body" "Gyro"
"1" "SITTING" "TIME" "Jerk" "std" "Z" -0.987935806382979 "Body" "Gyro"
"1" "SITTING" "TIME" "Mag" "std" NA -0.927078418723404 "Body" "Acc"
"1" "SITTING" "TIME" "Mag" "std" NA -0.927078418723404 "Gravity" "Acc"
"1" "SITTING" "TIME" "JerkMag" "std" NA -0.984120024042553 "Body" "Acc"
"1" "SITTING" "TIME" "Mag" "std" NA -0.934531840425532 "Body" "Gyro"
"1" "SITTING" "TIME" "JerkMag" "std" NA -0.988308728510638 "Body" "Gyro"
"1" "SITTING" "FREQUENCY" "" "std" "X" -0.976412313191489 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "" "std" "Y" -0.917275006382979 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "" "std" "Z" -0.934469558085106 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "Jerk" "std" "X" -0.987492994468085 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "Jerk" "std" "Y" -0.982513909574468 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "Jerk" "std" "Z" -0.988339184893617 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "" "std" "X" -0.977904227021277 "Body" "Gyro"
"1" "SITTING" "FREQUENCY" "" "std" "Y" -0.962345042553192 "Body" "Gyro"
"1" "SITTING" "FREQUENCY" "" "std" "Z" -0.94391784106383 "Body" "Gyro"
"1" "SITTING" "FREQUENCY" "Mag" "std" NA -0.928444801702128 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "JerkMag" "std" NA -0.981606177446808 "Body" "Acc"
"1" "SITTING" "FREQUENCY" "Mag" "std" NA -0.932198374893617 "Body" "Gyro"
"1" "SITTING" "FREQUENCY" "JerkMag" "std" NA -0.987049617234043 "Body" "Gyro"
"1" "STANDING" "TIME" "" "mean" "X" 0.278917629056604 "Body" "Acc"
"1" "STANDING" "TIME" "" "mean" "Y" -0.0161375901037736 "Body" "Acc"
"1" "STANDING" "TIME" "" "mean" "Z" -0.110601817735849 "Body" "Acc"
"1" "STANDING" "TIME" "" "mean" "X" 0.942952000377358 "Gravity" "Acc"
"1" "STANDING" "TIME" "" "mean" "Y" -0.272983832264151 "Gravity" "Acc"
"1" "STANDING" "TIME" "" "mean" "Z" 0.0134905823226415 "Gravity" "Acc"
"1" "STANDING" "TIME" "Jerk" "mean" "X" 0.0753766542264151 "Body" "Acc"
"1" "STANDING" "TIME" "Jerk" "mean" "Y" 0.00797573092830189 "Body" "Acc"
"1" "STANDING" "TIME" "Jerk" "mean" "Z" -0.00368524954709434 "Body" "Acc"
"1" "STANDING" "TIME" "" "mean" "X" -0.0239877347979245 "Body" "Gyro"
"1" "STANDING" "TIME" "" "mean" "Y" -0.0593972209811321 "Body" "Gyro"
"1" "STANDING" "TIME" "" "mean" "Z" 0.074800751 "Body" "Gyro"
"1" "STANDING" "TIME" "Jerk" "mean" "X" -0.0996092129056604 "Body" "Gyro"
"1" "STANDING" "TIME" "Jerk" "mean" "Y" -0.0440627877924528 "Body" "Gyro"
"1" "STANDING" "TIME" "Jerk" "mean" "Z" -0.0489505466716981 "Body" "Gyro"
"1" "STANDING" "TIME" "Mag" "mean" NA -0.984278207358491 "Body" "Acc"
"1" "STANDING" "TIME" "Mag" "mean" NA -0.984278207358491 "Gravity" "Acc"
"1" "STANDING" "TIME" "JerkMag" "mean" NA -0.992367790566038 "Body" "Acc"
"1" "STANDING" "TIME" "Mag" "mean" NA -0.976493792830189 "Body" "Gyro"
"1" "STANDING" "TIME" "JerkMag" "mean" NA -0.994966790566038 "Body" "Gyro"
"1" "STANDING" "FREQUENCY" "" "mean" "X" -0.995249932641509 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "" "mean" "Y" -0.977070847735849 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "" "mean" "Z" -0.985297098679245 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "Jerk" "mean" "X" -0.994630797358491 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "Jerk" "mean" "Y" -0.985418704528302 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "Jerk" "mean" "Z" -0.990752166037736 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "" "mean" "X" -0.986386786037736 "Body" "Gyro"
"1" "STANDING" "FREQUENCY" "" "mean" "Y" -0.988984455849057 "Body" "Gyro"
"1" "STANDING" "FREQUENCY" "" "mean" "Z" -0.980773122830189 "Body" "Gyro"
"1" "STANDING" "FREQUENCY" "Mag" "mean" NA -0.985356361132075 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "JerkMag" "mean" NA -0.99254247754717 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "Mag" "mean" NA -0.984617623396226 "Body" "Gyro"
"1" "STANDING" "FREQUENCY" "JerkMag" "mean" NA -0.994815376981132 "Body" "Gyro"
"1" "STANDING" "TIME" "" "std" "X" -0.995759901509434 "Body" "Acc"
"1" "STANDING" "TIME" "" "std" "Y" -0.973190056415094 "Body" "Acc"
"1" "STANDING" "TIME" "" "std" "Z" -0.979775876981132 "Body" "Acc"
"1" "STANDING" "TIME" "" "std" "X" -0.99376298509434 "Gravity" "Acc"
"1" "STANDING" "TIME" "" "std" "Y" -0.981225957924528 "Gravity" "Acc"
"1" "STANDING" "TIME" "" "std" "Z" -0.976324063584906 "Gravity" "Acc"
"1" "STANDING" "TIME" "Jerk" "std" "X" -0.994604542264151 "Body" "Acc"
"1" "STANDING" "TIME" "Jerk" "std" "Y" -0.98564873245283 "Body" "Acc"
"1" "STANDING" "TIME" "Jerk" "std" "Z" -0.992251177358491 "Body" "Acc"
"1" "STANDING" "TIME" "" "std" "X" -0.987191946603774 "Body" "Gyro"
"1" "STANDING" "TIME" "" "std" "Y" -0.98773444 "Body" "Gyro"
"1" "STANDING" "TIME" "" "std" "Z" -0.980645626981132 "Body" "Gyro"
"1" "STANDING" "TIME" "Jerk" "std" "X" -0.992945106981132 "Body" "Gyro"
"1" "STANDING" "TIME" "Jerk" "std" "Y" -0.995137917358491 "Body" "Gyro"
"1" "STANDING" "TIME" "Jerk" "std" "Z" -0.992108467169811 "Body" "Gyro"
"1" "STANDING" "TIME" "Mag" "std" NA -0.981942928867925 "Body" "Acc"
"1" "STANDING" "TIME" "Mag" "std" NA -0.981942928867925 "Gravity" "Acc"
"1" "STANDING" "TIME" "JerkMag" "std" NA -0.993096209433962 "Body" "Acc"
"1" "STANDING" "TIME" "Mag" "std" NA -0.978690028679245 "Body" "Gyro"
"1" "STANDING" "TIME" "JerkMag" "std" NA -0.994733238679245 "Body" "Gyro"
"1" "STANDING" "FREQUENCY" "" "std" "X" -0.99602834509434 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "" "std" "Y" -0.972293102075472 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "" "std" "Z" -0.977937259622642 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "Jerk" "std" "X" -0.995073759245283 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "Jerk" "std" "Y" -0.987018226792453 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "Jerk" "std" "Z" -0.992349818113208 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "" "std" "X" -0.987497128679245 "Body" "Gyro"
"1" "STANDING" "FREQUENCY" "" "std" "Y" -0.987107727735849 "Body" "Gyro"
"1" "STANDING" "FREQUENCY" "" "std" "Z" -0.98234533 "Body" "Gyro"
"1" "STANDING" "FREQUENCY" "Mag" "std" NA -0.982313804716981 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "JerkMag" "std" NA -0.992536003396226 "Body" "Acc"
"1" "STANDING" "FREQUENCY" "Mag" "std" NA -0.978466072075472 "Body" "Gyro"
"1" "STANDING" "FREQUENCY" "JerkMag" "std" NA -0.994671123207547 "Body" "Gyro"
"1" "WALKING" "TIME" "" "mean" "X" 0.277330758736842 "Body" "Acc"
"1" "WALKING" "TIME" "" "mean" "Y" -0.0173838185273684 "Body" "Acc"
"1" "WALKING" "TIME" "" "mean" "Z" -0.111148103547368 "Body" "Acc"
"1" "WALKING" "TIME" "" "mean" "X" 0.935223201473684 "Gravity" "Acc"
"1" "WALKING" "TIME" "" "mean" "Y" -0.282165021263158 "Gravity" "Acc"
"1" "WALKING" "TIME" "" "mean" "Z" -0.068102864 "Gravity" "Acc"
"1" "WALKING" "TIME" "Jerk" "mean" "X" 0.0740416333157895 "Body" "Acc"
"1" "WALKING" "TIME" "Jerk" "mean" "Y" 0.0282721095884211 "Body" "Acc"
"1" "WALKING" "TIME" "Jerk" "mean" "Z" -0.00416840617789474 "Body" "Acc"
"1" "WALKING" "TIME" "" "mean" "X" -0.041830963526 "Body" "Gyro"
"1" "WALKING" "TIME" "" "mean" "Y" -0.0695300462115789 "Body" "Gyro"
"1" "WALKING" "TIME" "" "mean" "Z" 0.0849448173042105 "Body" "Gyro"
"1" "WALKING" "TIME" "Jerk" "mean" "X" -0.0899975423705263 "Body" "Gyro"
"1" "WALKING" "TIME" "Jerk" "mean" "Y" -0.0398428709463158 "Body" "Gyro"
"1" "WALKING" "TIME" "Jerk" "mean" "Z" -0.0461309295021053 "Body" "Gyro"
"1" "WALKING" "TIME" "Mag" "mean" NA -0.136971176556842 "Body" "Acc"
"1" "WALKING" "TIME" "Mag" "mean" NA -0.136971176556842 "Gravity" "Acc"
"1" "WALKING" "TIME" "JerkMag" "mean" NA -0.141428809031579 "Body" "Acc"
"1" "WALKING" "TIME" "Mag" "mean" NA -0.160979552536842 "Body" "Gyro"
"1" "WALKING" "TIME" "JerkMag" "mean" NA -0.298703679084211 "Body" "Gyro"
"1" "WALKING" "FREQUENCY" "" "mean" "X" -0.202794306326316 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "" "mean" "Y" 0.0897127264021053 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "" "mean" "Z" -0.331560117789474 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "Jerk" "mean" "X" -0.170546964549579 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "Jerk" "mean" "Y" -0.0352255241130632 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "Jerk" "mean" "Z" -0.468999224631579 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "" "mean" "X" -0.339032197115789 "Body" "Gyro"
"1" "WALKING" "FREQUENCY" "" "mean" "Y" -0.103059416434737 "Body" "Gyro"
"1" "WALKING" "FREQUENCY" "" "mean" "Z" -0.255940940315789 "Body" "Gyro"
"1" "WALKING" "FREQUENCY" "Mag" "mean" NA -0.128623450629474 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "JerkMag" "mean" NA -0.0571194000343158 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "Mag" "mean" NA -0.199252568986316 "Body" "Gyro"
"1" "WALKING" "FREQUENCY" "JerkMag" "mean" NA -0.319308593778947 "Body" "Gyro"
"1" "WALKING" "TIME" "" "std" "X" -0.283740258842105 "Body" "Acc"
"1" "WALKING" "TIME" "" "std" "Y" 0.114461336747368 "Body" "Acc"
"1" "WALKING" "TIME" "" "std" "Z" -0.260027902210526 "Body" "Acc"
"1" "WALKING" "TIME" "" "std" "X" -0.976609642526316 "Gravity" "Acc"
"1" "WALKING" "TIME" "" "std" "Y" -0.971305961473684 "Gravity" "Acc"
"1" "WALKING" "TIME" "" "std" "Z" -0.947717226105263 "Gravity" "Acc"
"1" "WALKING" "TIME" "Jerk" "std" "X" -0.113615602435789 "Body" "Acc"
"1" "WALKING" "TIME" "Jerk" "std" "Y" 0.0670025007684211 "Body" "Acc"
"1" "WALKING" "TIME" "Jerk" "std" "Z" -0.502699788526316 "Body" "Acc"
"1" "WALKING" "TIME" "" "std" "X" -0.473535485894737 "Body" "Gyro"
"1" "WALKING" "TIME" "" "std" "Y" -0.0546077686594737 "Body" "Gyro"
"1" "WALKING" "TIME" "" "std" "Z" -0.344266629473684 "Body" "Gyro"
"1" "WALKING" "TIME" "Jerk" "std" "X" -0.207421854757895 "Body" "Gyro"
"1" "WALKING" "TIME" "Jerk" "std" "Y" -0.304468510631579 "Body" "Gyro"
"1" "WALKING" "TIME" "Jerk" "std" "Z" -0.404255452631579 "Body" "Gyro"
"1" "WALKING" "TIME" "Mag" "std" NA -0.219688645631579 "Body" "Acc"
"1" "WALKING" "TIME" "Mag" "std" NA -0.219688645631579 "Gravity" "Acc"
"1" "WALKING" "TIME" "JerkMag" "std" NA -0.0744717500625263 "Body" "Acc"
"1" "WALKING" "TIME" "Mag" "std" NA -0.186978364526316 "Body" "Gyro"
"1" "WALKING" "TIME" "JerkMag" "std" NA -0.325324878894737 "Body" "Gyro"
"1" "WALKING" "FREQUENCY" "" "std" "X" -0.319134719578947 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "" "std" "Y" 0.056040006846 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "" "std" "Z" -0.279686751494737 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "Jerk" "std" "X" -0.133586606326316 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "Jerk" "std" "Y" 0.106739857136 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "Jerk" "std" "Z" -0.534713440421053 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "" "std" "X" -0.516691938736842 "Body" "Gyro"
"1" "WALKING" "FREQUENCY" "" "std" "Y" -0.0335081597884211 "Body" "Gyro"
"1" "WALKING" "FREQUENCY" "" "std" "Z" -0.436562227473684 "Body" "Gyro"
"1" "WALKING" "FREQUENCY" "Mag" "std" NA -0.398032586842105 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "JerkMag" "std" NA -0.103492403002105 "Body" "Acc"
"1" "WALKING" "FREQUENCY" "Mag" "std" NA -0.321017953894737 "Body" "Gyro"
"1" "WALKING" "FREQUENCY" "JerkMag" "std" NA -0.381601911789474 "Body" "Gyro"
"1" "WALKING_DOWNSTAIRS" "TIME" "" "mean" "X" 0.289188320408163 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "TIME" "" "mean" "Y" -0.00991850461020408 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "TIME" "" "mean" "Z" -0.107566190908163 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "TIME" "" "mean" "X" 0.931874418979592 "Gravity" "Acc"
"1" "WALKING_DOWNSTAIRS" "TIME" "" "mean" "Y" -0.266610338979592 "Gravity" "Acc"
"1" "WALKING_DOWNSTAIRS" "TIME" "" "mean" "Z" -0.0621199585938775 "Gravity" "Acc"
"1" "WALKING_DOWNSTAIRS" "TIME" "Jerk" "mean" "X" 0.0541553164897959 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "TIME" "Jerk" "mean" "Y" 0.0296504490408163 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "TIME" "Jerk" "mean" "Z" -0.0109719730183673 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "TIME" "" "mean" "X" -0.0350781902989796 "Body" "Gyro"
"1" "WALKING_DOWNSTAIRS" "TIME" "" "mean" "Y" -0.0909371290204082 "Body" "Gyro"
"1" "WALKING_DOWNSTAIRS" "TIME" "" "mean" "Z" 0.0900850142030612 "Body" "Gyro"
"1" "WALKING_DOWNSTAIRS" "TIME" "Jerk" "mean" "X" -0.0739592036271429 "Body" "Gyro"
"1" "WALKING_DOWNSTAIRS" "TIME" "Jerk" "mean" "Y" -0.0439902783367347 "Body" "Gyro"
"1" "WALKING_DOWNSTAIRS" "TIME" "Jerk" "mean" "Z" -0.0270461061061224 "Body" "Gyro"
"1" "WALKING_DOWNSTAIRS" "TIME" "Mag" "mean" NA 0.0271882914106122 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "TIME" "Mag" "mean" NA 0.0271882914106122 "Gravity" "Acc"
"1" "WALKING_DOWNSTAIRS" "TIME" "JerkMag" "mean" NA -0.0894474807979592 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "TIME" "Mag" "mean" NA -0.0757412543673469 "Body" "Gyro"
"1" "WALKING_DOWNSTAIRS" "TIME" "JerkMag" "mean" NA -0.295463843346939 "Body" "Gyro"
"1" "WALKING_DOWNSTAIRS" "FREQUENCY" "" "mean" "X" 0.0382291831510204 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "FREQUENCY" "" "mean" "Y" 0.00154990783591837 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "FREQUENCY" "" "mean" "Z" -0.225574471693878 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "FREQUENCY" "Jerk" "mean" "X" -0.0276638676122449 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "FREQUENCY" "Jerk" "mean" "Y" -0.12866715764898 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "FREQUENCY" "Jerk" "mean" "Z" -0.288334735714286 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "FREQUENCY" "" "mean" "X" -0.352449631363265 "Body" "Gyro"
"1" "WALKING_DOWNSTAIRS" "FREQUENCY" "" "mean" "Y" -0.0557022524693878 "Body" "Gyro"
"1" "WALKING_DOWNSTAIRS" "FREQUENCY" "" "mean" "Z" -0.0318694271979592 "Body" "Gyro"
"1" "WALKING_DOWNSTAIRS" "FREQUENCY" "Mag" "mean" NA 0.0965845343040816 "Body" "Acc"
"1" "WALKING_DOWNSTAIRS" "FREQUENCY" "JerkMag" "mean" NA 0.0262184949326531 "Body" "Acc"
